Date,Open,High,Low,Close,Adj Close,Volume
21/12/2022,12.279061,12.279061,11.929597,12.128985,12.128985,167974882
22/12/2022,12.129865,12.168594,11.720109,11.794829,11.794829,181200151
23/12/2022,11.794523,12.084676,11.755585,11.786166,11.786166,157181374
24/12/2022,11.786255,11.786255,11.239624,11.444276,11.444276,202780776
25/12/2022,11.444534,11.534026,11.27483,11.387903,11.387903,105389060
26/12/2022,11.38769,11.45341,11.138464,11.306611,11.306611,132410401
27/12/2022,11.309179,11.390708,10.76621,11.08543,11.08543,223332961
28/12/2022,11.084863,11.098109,9.522949,9.755906,9.755906,468728777
29/12/2022,9.755775,9.827129,8.141268,9.651783,9.651783,772500177
30/12/2022,9.651915,10.021772,9.062715,9.880177,9.880177,837030648
31/12/2022,9.881005,10.151167,9.692624,9.961039,9.961039,285758573
01/01/2023,9.961036,10.052801,9.721011,9.982173,9.982173,194221164
02/01/2023,9.983222,11.372013,9.845211,11.272967,11.272967,558570124
03/01/2023,11.274727,13.500268,11.053267,13.344046,13.344046,1149255381
04/01/2023,13.351509,14.09534,12.922946,13.435113,13.435113,1142852070
05/01/2023,13.434939,13.7692,12.990192,13.41933,13.41933,564255825
06/01/2023,13.420552,13.541294,12.771324,13.525842,13.525842,517147909
07/01/2023,13.526757,13.526757,13.055073,13.092268,13.092268,210349250
08/01/2023,13.091505,14.333257,12.924286,14.319933,14.319933,535020165
09/01/2023,14.325533,17.361557,14.325533,16.302464,16.302464,2029272608
10/01/2023,16.296198,16.640087,15.711213,16.196724,16.196724,833408341
11/01/2023,16.196577,16.446589,15.368487,16.359415,16.359415,630606082
12/01/2023,16.789261,16.808434,15.744722,16.619043,16.619043,884719784
13/01/2023,16.618727,18.514465,16.381359,18.288445,18.288445,1037251176
14/01/2023,18.287506,24.565018,18.266825,24.249458,24.249458,3399684035
15/01/2023,24.259123,24.651987,22.116848,22.873306,22.873306,1661787281
16/01/2023,22.875086,24.752789,22.585596,23.577564,23.577564,1596086615
17/01/2023,23.580601,23.802801,22.882893,22.884064,22.884064,926501252
18/01/2023,22.886484,23.482634,20.693499,20.850634,20.850634,1427677518
19/01/2023,20.850828,21.765444,20.52895,21.426765,21.426765,799641392
20/01/2023,21.426407,25.678333,21.004543,25.548271,25.548271,1419157455
